date,bund_10y_yield_pct,bund_10y_yield
2025-07-02,2.65900531800003,0.0265900531800003
2025-07-03,2.61299738699995,0.0261299738699995
2025-07-04,2.60602084799996,0.0260602084799996
2025-07-07,2.641994716,0.02641994716
2025-07-08,2.68599731400002,0.0268599731400002
2025-07-09,2.67098931600003,0.0267098931600003
2025-07-10,2.70298918799995,0.0270298918799995
2025-07-11,2.72301633799998,0.0272301633799998
2025-07-14,2.72799454400001,0.0272799454400001
2025-07-15,2.71102168799996,0.0271102168799996
2025-07-16,2.68599731400002,0.0268599731400002
2025-07-17,2.67298396199999,0.0267298396199999
2025-07-18,2.69402155199998,0.0269402155199998
2025-07-21,2.61198693999995,0.0261198693999995
2025-07-22,2.58901294500004,0.0258901294500004
2025-07-23,2.63802638000004,0.0263802638000004
2025-07-24,2.70102160800002,0.0270102160800002
2025-07-25,2.71601086400005,0.0271601086400005
2025-07-28,2.68802419200006,0.0268802419200006
2025-07-29,2.70699458599995,0.0270699458599995
2025-07-30,2.70399459199996,0.0270399459199996
2025-07-31,2.69297845599999,0.0269297845599999
2025-08-01,2.67697858400004,0.0267697858400004
2025-08-04,2.62300524600005,0.0262300524600005
2025-08-05,2.62197377999996,0.0262197377999996
2025-08-06,2.64801059199999,0.0264801059199999
2025-08-07,2.62897633900002,0.0262897633900002
2025-08-08,2.68801075199997,0.0268801075199997
2025-08-11,2.69500539000001,0.0269500539000001
2025-08-12,2.74298354200005,0.0274298354200005
2025-08-13,2.678997321,0.02678997321
2025-08-14,2.71099186699996,0.0271099186699996
2025-08-15,2.78700836099995,0.0278700836099995
2025-08-18,2.76197790399999,0.0276197790399999
2025-08-19,2.74899725099999,0.0274899725099999
2025-08-20,2.71601357999998,0.0271601357999998
2025-08-21,2.75601377999999,0.0275601377999999
2025-08-22,2.72002448000001,0.0272002448000001
2025-08-25,2.75601377999999,0.0275601377999999
2025-08-26,2.72197277999999,0.0272197277999999
2025-08-27,2.69898110700001,0.0269898110700001
2025-08-28,2.69298114900005,0.0269298114900005
2025-08-29,2.72298366200005,0.0272298366200005
2025-09-01,2.74599999999998,0.0274599999999998
2025-09-02,2.78399999999999,0.0278399999999999
2025-09-03,2.73897534900004,0.0273897534900004
2025-09-04,2.71802446200002,0.0271802446200002
2025-09-05,2.66099999999994,0.0266099999999994
2025-09-08,2.64098415399997,0.0264098415399997
2025-09-09,2.65799202599999,0.0265799202599999
2025-09-10,2.64998939999998,0.0264998939999998
2025-09-11,2.65500796499998,0.0265500796499998
2025-09-12,2.71398371600003,0.0271398371600003
2025-09-15,2.68998117000001,0.0268998117000001
2025-09-16,2.69199461599999,0.0269199461599999
2025-09-17,2.67298930799996,0.0267298930799996
2025-09-18,2.72399455200002,0.0272399455200002
2025-09-19,2.74600823799994,0.0274600823799994
2025-09-22,2.74700549399995,0.0274700549399995
2025-09-23,2.74800824399995,0.0274800824399995
2025-09-24,2.74199999999996,0.0274199999999996
2025-09-25,2.772986135,0.02772986135
2025-09-26,2.74498627499997,0.0274498627499997
2025-09-29,2.70697293000001,0.0270697293000001
2025-09-30,2.70997832,0.0270997832
2025-10-01,2.71198372799995,0.0271198372799995
2025-10-02,2.69798381199996,0.0269798381199996
2025-10-03,2.69698112100002,0.0269698112100002
2025-10-06,2.71798640999998,0.0271798640999998
2025-10-07,2.707978336,0.02707978336
2025-10-08,2.678,0.02678
2025-10-09,2.70197568200001,0.0270197568200001
2025-10-10,2.64301585800001,0.0264301585800001
2025-10-13,2.63498682500006,0.0263498682500006
2025-10-14,2.60901043599995,0.0260901043599995
2025-10-15,2.56997687,0.0256997687
2025-10-16,2.56998714999997,0.0256998714999997
2025-10-17,2.58001548000004,0.0258001548000004
2025-10-20,2.57602060800002,0.0257602060800002
2025-10-21,2.55099744899996,0.0255099744899996
2025-10-22,2.561984628,0.02561984628
2025-10-23,2.58197417999997,0.0258197417999997
2025-10-24,2.62501050000003,0.0262501050000003
2025-10-27,2.61502092000001,0.0261502092000001
2025-10-28,2.62199737799995,0.0262199737799995
2025-10-29,2.61998428000004,0.0261998428000004
2025-10-30,2.64200528399999,0.0264200528399999
2025-10-31,2.63198157600004,0.0263198157600004
2025-11-03,2.66598133800005,0.0266598133800005
2025-11-04,2.65297347000001,0.0265297347000001
2025-11-05,2.67200534400001,0.0267200534400001
2025-11-06,2.67202671999996,0.0267202671999996
2025-11-07,2.66497334999997,0.0266497334999997
2025-11-10,2.66697599700001,0.0266697599700001
2025-11-11,2.65701594200004,0.0265701594200004
2025-11-12,2.64201585199999,0.0264201585199999
2025-11-13,2.68700268700002,0.0268700268700002
2025-11-14,2.71900271899995,0.0271900271899995
2025-11-17,2.71097288999999,0.0271097288999999
2025-11-18,2.70597564599996,0.0270597564599996
2025-11-19,2.71099186699996,0.0271099186699996
2025-11-20,2.71500000000003,0.0271500000000003
2025-11-21,2.70199459599996,0.0270199459599996
2025-11-24,2.69102152799996,0.0269102152799996
2025-11-25,2.67097863200001,0.0267097863200001
2025-11-26,2.67001334999998,0.0267001334999998
2025-11-27,2.67901875300004,0.0267901875300004
2025-11-28,2.68799731199999,0.0268799731199999
2025-12-01,2.74898075700003,0.0274898075700003
2025-12-02,2.74799175600003,0.0274799175600003
2025-12-03,2.74599999999998,0.0274599999999998
2025-12-04,2.76998060999995,0.0276998060999995
2025-12-05,2.79701118800006,0.0279701118800006
2025-12-08,2.86101716600001,0.0286101716600001
2025-12-09,2.847974368,0.02847974368
2025-12-10,2.84900000000005,0.0284900000000005
2025-12-11,2.84199999999998,0.0284199999999998
2025-12-12,2.85597143999996,0.0285597143999996
2025-12-15,2.85202851999998,0.0285202851999998
2025-12-16,2.84402559600005,0.0284402559600005
2025-12-17,2.86298854799998,0.0286298854799998
2025-12-18,2.84799145600005,0.0284799145600005
2025-12-19,2.89399421200005,0.0289399421200005
2025-12-22,2.895997104,0.02895997104
2025-12-23,2.86000000000001,0.0286000000000001
2025-12-24,2.86099713900001,0.0286099713900001
2025-12-25,2.860977112,0.02860977112
2025-12-29,2.82798303200002,0.0282798303200002
2025-12-30,2.85397716800003,0.0285397716800003
2025-12-31,2.85397146000003,0.0285397146000003
2026-01-01,2.85400856199999,0.0285400856199999
2026-01-02,2.89900579799996,0.0289900579799996
2026-01-05,2.869017214,0.02869017214
2026-01-06,2.84100568199995,0.0284100568199995
2026-01-07,2.81098875600003,0.0281098875600003
2026-01-08,2.86201430999995,0.0286201430999995
2026-01-09,2.86202575799996,0.0286202575799996
2026-01-12,2.84000567999999,0.0284000567999999
2026-01-13,2.84598007800003,0.0284598007800003
2026-01-14,2.81298593500003,0.0281298593500003
2026-01-15,2.81802536199996,0.0281802536199996
2026-01-16,2.83400283399999,0.0283400283399999
